date_time,Lakelands_maxtempC,Lakelands_mintempC,Lakelands_totalSnow_cm,Lakelands_sunHour,Lakelands_uvIndex,Lakelands_uvIndex,Lakelands_moon_illumination,Lakelands_moonrise,Lakelands_moonset,Lakelands_sunrise,Lakelands_sunset,Lakelands_DewPointC,Lakelands_FeelsLikeC,Lakelands_HeatIndexC,Lakelands_WindChillC,Lakelands_WindGustKmph,Lakelands_cloudcover,Lakelands_humidity,Lakelands_precipMM,Lakelands_pressure,Lakelands_tempC,Lakelands_visibility,Lakelands_winddirDegree,Lakelands_windspeedKmph
2019-12-04 00:00:00,29,23,0.0,5.7,7,1,48,12:47 PM,No moonset,06:23 AM,05:31 PM,20,26,26,24,10,17,81,0.0,1013,24,10,15,6
2019-12-04 03:00:00,29,23,0.0,5.7,7,1,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,26,26,24,8,18,81,0.0,1012,24,10,20,5
2019-12-04 06:00:00,29,23,0.0,5.7,7,6,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,27,27,25,6,11,80,0.0,1013,25,10,18,4
2019-12-04 09:00:00,29,23,0.0,5.7,7,7,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,30,30,28,4,15,68,0.0,1014,28,10,227,3
2019-12-04 12:00:00,29,23,0.0,5.7,7,7,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,32,32,29,2,61,61,0.5,1014,29,9,244,2
2019-12-04 15:00:00,29,23,0.0,5.7,7,6,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,30,30,28,4,85,68,0.8,1012,28,9,95,3
2019-12-04 18:00:00,29,23,0.0,5.7,7,6,48,12:47 PM,No moonset,06:23 AM,05:31 PM,21,27,27,25,9,77,78,0.8,1013,25,9,29,5
2019-12-04 21:00:00,29,23,0.0,5.7,7,1,48,12:47 PM,No moonset,06:23 AM,05:31 PM,20,26,26,23,13,42,83,0.3,1014,23,10,15,7
2019-12-05 00:00:00,30,25,0.0,7.2,7,1,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,21,27,27,25,10,13,83,0.0,1014,25,10,20,7
2019-12-05 03:00:00,30,25,0.0,7.2,7,1,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,27,27,25,8,6,83,0.0,1013,25,10,25,6
2019-12-05 06:00:00,30,25,0.0,7.2,7,6,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,27,27,25,8,13,83,0.0,1015,25,10,17,6
2019-12-05 09:00:00,30,25,0.0,7.2,7,7,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,31,31,28,5,22,71,0.0,1016,28,10,23,4
2019-12-05 12:00:00,30,25,0.0,7.2,7,7,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,33,33,29,5,28,66,0.0,1015,29,10,78,4
2019-12-05 15:00:00,30,25,0.0,7.2,7,7,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,32,32,29,7,62,69,0.2,1014,29,9,100,6
2019-12-05 18:00:00,30,25,0.0,7.2,7,6,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,29,29,26,11,83,79,0.4,1014,26,10,48,8
2019-12-05 21:00:00,30,25,0.0,7.2,7,1,55,01:23 PM,12:44 AM,06:24 AM,05:31 PM,22,27,27,25,9,81,85,0.9,1016,25,9,28,6
2019-12-06 00:00:00,30,24,0.0,5.7,6,1,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,28,28,25,8,29,86,0.4,1016,25,10,20,6
2019-12-06 03:00:00,30,24,0.0,5.7,6,1,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,28,28,25,8,6,86,0.0,1015,25,10,28,6
2019-12-06 06:00:00,30,24,0.0,5.7,6,7,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,28,28,25,8,10,86,0.0,1016,25,10,32,6
2019-12-06 09:00:00,30,24,0.0,5.7,6,7,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,32,32,28,5,53,75,0.1,1017,28,10,44,4
2019-12-06 12:00:00,30,24,0.0,5.7,6,6,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,34,34,30,6,76,68,0.2,1016,30,9,86,5
2019-12-06 15:00:00,30,24,0.0,5.7,6,6,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,24,33,33,29,9,82,72,1.1,1015,29,9,78,7
2019-12-06 18:00:00,30,24,0.0,5.7,6,6,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,23,29,29,26,11,79,81,1.6,1015,26,9,46,8
2019-12-06 21:00:00,30,24,0.0,5.7,6,1,62,01:57 PM,01:32 AM,06:24 AM,05:31 PM,22,27,27,24,11,29,84,0.5,1016,24,10,20,7
2019-12-07 00:00:00,29,21,0.0,5.7,7,1,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,22,28,28,25,8,5,85,0.0,1016,25,10,29,6
2019-12-07 03:00:00,29,21,0.0,5.7,7,1,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,23,28,28,26,6,5,86,0.0,1015,26,10,34,5
2019-12-07 06:00:00,29,21,0.0,5.7,7,7,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,23,28,28,25,5,7,86,0.0,1016,25,10,22,5
2019-12-07 09:00:00,29,21,0.0,5.7,7,7,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,23,31,31,28,3,19,74,0.0,1017,28,10,169,2
2019-12-07 12:00:00,29,21,0.0,5.7,7,7,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,23,32,32,29,3,62,72,1.3,1016,29,10,157,2
2019-12-07 15:00:00,29,21,0.0,5.7,7,6,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,23,30,30,27,5,74,77,2.4,1014,27,8,60,3
2019-12-07 18:00:00,29,21,0.0,5.7,7,6,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,22,28,28,26,9,72,83,3.6,1015,26,7,24,5
2019-12-07 21:00:00,29,21,0.0,5.7,7,1,70,02:32 PM,02:19 AM,06:25 AM,05:31 PM,22,24,24,22,8,26,85,1.4,1016,22,9,18,6
2019-12-08 00:00:00,28,21,0.0,5.7,7,1,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,23,26,26,24,6,4,86,0.0,1015,24,10,9,5
2019-12-08 03:00:00,28,21,0.0,5.7,7,1,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,22,27,27,25,5,6,85,0.0,1015,25,10,22,4
2019-12-08 06:00:00,28,21,0.0,5.7,7,6,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,22,27,27,25,4,22,86,0.0,1015,25,10,27,3
2019-12-08 09:00:00,28,21,0.0,5.7,7,7,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,22,29,29,27,3,61,77,0.1,1017,27,9,55,3
2019-12-08 12:00:00,28,21,0.0,5.7,7,6,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,23,31,31,28,5,51,72,0.1,1015,28,10,85,4
2019-12-08 15:00:00,28,21,0.0,5.7,7,7,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,23,32,32,28,9,65,73,0.4,1014,28,9,85,7
2019-12-08 18:00:00,28,21,0.0,5.7,7,6,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,22,29,29,26,12,77,81,0.4,1014,26,9,57,8
2019-12-08 21:00:00,28,21,0.0,5.7,7,1,77,03:09 PM,03:08 AM,06:26 AM,05:32 PM,22,22,25,22,10,25,84,0.1,1015,22,10,38,8
2019-12-09 00:00:00,30,22,0.0,4.1,7,1,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,22,26,26,23,7,3,84,0.0,1015,23,10,31,6
2019-12-09 03:00:00,30,22,0.0,4.1,7,1,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,26,26,24,7,8,84,0.0,1014,24,10,29,5
2019-12-09 06:00:00,30,22,0.0,4.1,7,6,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,26,26,24,5,33,84,0.0,1015,24,10,15,4
2019-12-09 09:00:00,30,22,0.0,4.1,7,7,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,22,30,30,27,5,72,72,0.3,1016,27,10,74,4
2019-12-09 12:00:00,30,22,0.0,4.1,7,6,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,32,32,29,13,75,62,0.3,1015,29,9,112,12
2019-12-09 15:00:00,30,22,0.0,4.1,7,6,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,31,31,28,16,70,65,0.5,1013,28,10,106,13
2019-12-09 18:00:00,30,22,0.0,4.1,7,6,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,27,27,25,18,75,76,0.6,1014,25,10,81,11
2019-12-09 21:00:00,30,22,0.0,4.1,7,1,84,03:48 PM,03:58 AM,06:26 AM,05:32 PM,21,26,26,23,14,26,83,0.2,1015,23,10,53,9
2019-12-10 00:00:00,29,23,0.0,7.2,7,1,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,23,28,28,25,10,0,85,0.0,1015,25,10,33,8
2019-12-10 03:00:00,29,23,0.0,7.2,7,1,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,23,28,28,25,7,3,85,0.0,1014,25,10,26,6
2019-12-10 06:00:00,29,23,0.0,7.2,7,6,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,22,27,27,24,10,6,84,0.0,1015,24,10,53,8
2019-12-10 09:00:00,29,23,0.0,7.2,7,7,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,21,29,29,27,11,10,72,0.0,1017,27,10,95,9
2019-12-10 12:00:00,29,23,0.0,7.2,7,7,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,21,31,31,29,14,55,64,0.1,1016,29,10,109,12
2019-12-10 15:00:00,29,23,0.0,7.2,7,6,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,21,30,30,28,17,74,67,0.5,1014,28,10,99,13
2019-12-10 18:00:00,29,23,0.0,7.2,7,6,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,21,27,27,25,21,72,77,0.7,1015,25,10,79,12
2019-12-10 21:00:00,29,23,0.0,7.2,7,1,92,04:31 PM,04:51 AM,06:27 AM,05:32 PM,20,26,26,23,23,30,82,0.2,1016,23,10,67,12
2019-12-11 00:00:00,29,23,0.0,5.7,7,1,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,21,26,26,24,18,7,84,0.0,1016,24,10,53,11
2019-12-11 03:00:00,29,23,0.0,5.7,7,1,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,22,27,27,25,12,4,84,0.0,1015,25,10,37,8
2019-12-11 06:00:00,29,23,0.0,5.7,7,6,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,22,27,27,25,10,4,83,0.0,1016,25,10,44,7
2019-12-11 09:00:00,29,23,0.0,5.7,7,7,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,21,30,30,27,5,8,70,0.0,1018,27,10,56,4
2019-12-11 12:00:00,29,23,0.0,5.7,7,7,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,21,30,30,27,10,61,70,0.7,1016,27,9,105,7
2019-12-11 15:00:00,29,23,0.0,5.7,7,6,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,22,29,29,26,13,80,76,2.5,1015,26,8,106,9
2019-12-11 18:00:00,29,23,0.0,5.7,7,5,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,22,27,27,25,13,84,82,3.5,1015,25,7,66,8
2019-12-11 21:00:00,29,23,0.0,5.7,7,1,99,05:18 PM,05:47 AM,06:27 AM,05:33 PM,21,26,26,24,12,32,84,1.2,1016,24,9,26,7
2019-12-12 00:00:00,29,24,0.0,7.2,7,1,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,26,26,24,9,3,85,0.0,1016,24,10,29,7
2019-12-12 03:00:00,29,24,0.0,7.2,7,1,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,22,26,26,24,10,59,86,0.1,1015,24,10,29,8
2019-12-12 06:00:00,29,24,0.0,7.2,7,5,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,22,27,27,24,12,76,85,0.3,1015,24,10,29,9
2019-12-12 09:00:00,29,24,0.0,7.2,7,6,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,29,29,27,12,77,73,0.2,1016,27,10,41,10
2019-12-12 12:00:00,29,24,0.0,7.2,7,6,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,32,32,29,12,36,63,0.1,1015,29,10,54,11
2019-12-12 15:00:00,29,24,0.0,7.2,7,7,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,31,31,29,13,60,65,0.1,1013,29,9,57,12
2019-12-12 18:00:00,29,24,0.0,7.2,7,6,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,28,28,26,15,77,75,0.2,1013,26,10,50,12
2019-12-12 21:00:00,29,24,0.0,7.2,7,1,100,06:10 PM,06:44 AM,06:28 AM,05:33 PM,21,27,27,25,13,29,81,0.1,1014,25,10,41,10
2019-12-13 00:00:00,28,20,0.0,5.7,7,1,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,22,27,27,25,8,3,83,0.0,1013,25,10,26,6
2019-12-13 03:00:00,28,20,0.0,5.7,7,1,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,22,27,27,24,6,6,86,0.0,1012,24,10,8,5
2019-12-13 06:00:00,28,20,0.0,5.7,7,6,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,22,26,26,24,7,4,86,0.0,1013,24,10,15,6
2019-12-13 09:00:00,28,20,0.0,5.7,7,7,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,22,29,29,27,5,54,74,0.1,1014,27,10,95,5
2019-12-13 12:00:00,28,20,0.0,5.7,7,6,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,21,30,30,27,9,79,70,0.5,1013,27,9,137,7
2019-12-13 15:00:00,28,20,0.0,5.7,7,6,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,21,29,29,27,11,81,71,0.6,1011,27,10,146,9
2019-12-13 18:00:00,28,20,0.0,5.7,7,5,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,21,27,27,25,11,81,79,0.7,1012,25,9,119,7
2019-12-13 21:00:00,28,20,0.0,5.7,7,1,87,07:07 PM,07:43 AM,06:29 AM,05:33 PM,21,21,23,21,9,29,82,0.3,1013,21,10,68,5
2019-12-14 00:00:00,28,23,0.0,7.2,7,1,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,21,25,25,23,8,3,80,0.0,1013,23,10,51,5
2019-12-14 03:00:00,28,23,0.0,7.2,7,1,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,20,26,26,24,9,4,78,0.0,1012,24,10,43,6
2019-12-14 06:00:00,28,23,0.0,7.2,7,6,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,20,26,26,24,9,13,78,0.0,1012,24,10,38,6
2019-12-14 09:00:00,28,23,0.0,7.2,7,7,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,20,29,29,27,5,12,67,0.0,1014,27,10,57,4
2019-12-14 12:00:00,28,23,0.0,7.2,7,7,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,20,29,29,27,9,51,64,0.5,1013,27,9,108,7
2019-12-14 15:00:00,28,23,0.0,7.2,7,6,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,21,28,28,26,12,79,72,1.1,1012,26,9,110,9
2019-12-14 18:00:00,28,23,0.0,7.2,7,5,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,21,26,26,24,14,84,80,2.4,1013,24,8,75,9
2019-12-14 21:00:00,28,23,0.0,7.2,7,1,79,08:07 PM,08:41 AM,06:29 AM,05:34 PM,20,25,25,23,13,79,83,1.1,1014,23,9,37,7
2019-12-15 00:00:00,30,23,0.0,8.7,6,1,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,20,25,25,23,9,73,83,0.2,1014,23,10,12,6
2019-12-15 03:00:00,30,23,0.0,8.7,6,1,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,21,26,26,24,9,29,84,0.1,1013,24,10,11,6
2019-12-15 06:00:00,30,23,0.0,8.7,6,6,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,20,26,26,24,9,7,81,0.0,1014,24,10,25,6
2019-12-15 09:00:00,30,23,0.0,8.7,6,7,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,20,29,29,27,7,5,67,0.0,1016,27,10,13,5
2019-12-15 12:00:00,30,23,0.0,8.7,6,7,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,21,32,32,30,3,6,57,0.0,1015,30,10,119,3
2019-12-15 15:00:00,30,23,0.0,8.7,6,7,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,20,31,31,29,4,6,59,0.0,1013,29,10,97,3
2019-12-15 18:00:00,30,23,0.0,8.7,6,7,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,20,27,27,26,11,6,73,0.0,1014,26,10,44,7
2019-12-15 21:00:00,30,23,0.0,8.7,6,1,72,09:08 PM,09:36 AM,06:30 AM,05:34 PM,19,25,25,23,15,7,75,0.0,1015,23,10,43,8
2019-12-16 00:00:00,28,23,0.0,4.1,7,1,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,20,26,26,24,19,13,80,0.0,1014,24,10,54,12
2019-12-16 03:00:00,28,23,0.0,4.1,7,1,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,22,27,27,25,12,53,85,0.3,1013,25,9,54,9
2019-12-16 06:00:00,28,23,0.0,4.1,7,5,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,22,27,27,25,12,75,84,0.5,1014,25,9,60,9
2019-12-16 09:00:00,28,23,0.0,4.1,7,6,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,21,30,30,27,17,78,71,1.1,1015,27,9,87,12
2019-12-16 12:00:00,28,23,0.0,4.1,7,6,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,21,29,29,27,27,82,70,3.8,1015,27,8,93,15
2019-12-16 15:00:00,28,23,0.0,4.1,7,5,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,21,27,27,25,26,74,79,4.0,1013,25,7,83,15
2019-12-16 18:00:00,28,23,0.0,4.1,7,5,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,20,26,26,24,24,69,82,3.7,1013,24,7,77,13
2019-12-16 21:00:00,28,23,0.0,4.1,7,1,65,10:09 PM,10:27 AM,06:30 AM,05:34 PM,20,25,25,23,24,72,83,1.3,1014,23,9,78,13
2019-12-17 00:00:00,28,23,0.0,5.7,6,1,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,21,26,26,24,19,84,84,0.1,1014,24,10,79,12
2019-12-17 03:00:00,28,23,0.0,5.7,6,1,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,22,27,27,24,18,80,84,0.1,1013,24,10,90,12
2019-12-17 06:00:00,28,23,0.0,5.7,6,5,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,21,26,26,24,17,75,84,0.1,1013,24,10,82,12
2019-12-17 09:00:00,28,23,0.0,5.7,6,6,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,21,29,29,26,17,34,72,0.0,1014,26,10,93,14
2019-12-17 12:00:00,28,23,0.0,5.7,6,7,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,20,30,30,28,21,63,64,0.1,1013,28,10,108,17
2019-12-17 15:00:00,28,23,0.0,5.7,6,6,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,20,28,28,27,24,84,68,0.3,1011,27,9,102,17
2019-12-17 18:00:00,28,23,0.0,5.7,6,5,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,20,26,26,24,25,82,78,0.5,1011,24,9,81,14
2019-12-17 21:00:00,28,23,0.0,5.7,6,1,58,11:09 PM,11:16 AM,06:31 AM,05:35 PM,20,25,25,23,22,78,84,0.3,1012,23,10,71,11
2019-12-18 00:00:00,27,23,0.0,4.1,6,1,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,26,26,24,16,76,85,0.2,1012,24,10,73,10
2019-12-18 03:00:00,27,23,0.0,4.1,6,1,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,26,26,24,14,79,85,0.1,1011,24,10,71,10
2019-12-18 06:00:00,27,23,0.0,4.1,6,5,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,26,26,24,14,86,85,0.1,1012,24,10,74,10
2019-12-18 09:00:00,27,23,0.0,4.1,6,6,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,28,28,26,15,81,74,0.1,1013,26,10,102,12
2019-12-18 12:00:00,27,23,0.0,4.1,6,6,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,29,29,27,19,72,70,1.2,1013,27,9,117,14
2019-12-18 15:00:00,27,23,0.0,4.1,6,6,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,21,28,28,26,18,73,73,1.6,1011,26,9,111,13
2019-12-18 18:00:00,27,23,0.0,4.1,6,5,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,20,26,26,24,20,77,81,1.6,1012,24,9,92,11
2019-12-18 21:00:00,27,23,0.0,4.1,6,1,50,No moonrise,12:00 PM,06:31 AM,05:35 PM,20,25,25,23,21,30,84,0.6,1013,23,10,74,11
2019-12-19 00:00:00,27,23,0.0,5.7,7,1,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,25,25,23,19,53,84,0.1,1013,23,10,72,11
2019-12-19 03:00:00,27,23,0.0,5.7,7,1,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,26,26,24,15,36,85,0.0,1012,24,10,69,10
2019-12-19 06:00:00,27,23,0.0,5.7,7,6,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,26,26,24,14,11,85,0.0,1013,24,10,68,10
2019-12-19 09:00:00,27,23,0.0,5.7,7,7,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,28,28,26,12,56,72,0.2,1015,26,9,88,9
2019-12-19 12:00:00,27,23,0.0,5.7,7,6,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,29,29,27,17,75,69,1.8,1014,27,9,97,12
2019-12-19 15:00:00,27,23,0.0,5.7,7,6,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,21,28,28,26,19,72,72,2.4,1012,26,9,91,12
2019-12-19 18:00:00,27,23,0.0,5.7,7,5,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,20,26,26,24,19,82,78,3.4,1013,24,8,77,11
2019-12-19 21:00:00,27,23,0.0,5.7,7,1,43,12:07 AM,12:43 PM,06:32 AM,05:36 PM,20,25,25,23,22,37,80,1.3,1015,23,9,65,11
2019-12-20 00:00:00,27,23,0.0,7.2,7,1,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,19,25,25,23,17,12,80,0.0,1014,23,10,54,9
2019-12-20 03:00:00,27,23,0.0,7.2,7,1,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,20,26,26,24,13,11,79,0.0,1014,24,10,51,8
2019-12-20 06:00:00,27,23,0.0,7.2,7,6,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,21,26,26,24,13,8,81,0.0,1014,24,10,52,9
2019-12-20 09:00:00,27,23,0.0,7.2,7,7,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,20,28,28,26,8,14,70,0.0,1016,26,10,67,6
2019-12-20 12:00:00,27,23,0.0,7.2,7,7,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,20,29,29,27,13,58,66,0.1,1014,27,9,111,10
2019-12-20 15:00:00,27,23,0.0,7.2,7,6,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,21,29,29,27,17,80,73,1.5,1013,27,9,102,12
2019-12-20 18:00:00,27,23,0.0,7.2,7,5,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,21,27,27,24,18,79,81,2.5,1013,24,8,75,10
2019-12-20 21:00:00,27,23,0.0,7.2,7,1,36,01:05 AM,01:25 PM,06:32 AM,05:36 PM,20,25,25,23,17,37,83,0.9,1015,23,9,56,9
2019-12-21 00:00:00,27,23,0.0,7.2,7,1,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,25,25,23,17,16,81,0.0,1015,23,10,53,9
2019-12-21 03:00:00,27,23,0.0,7.2,7,1,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,26,26,24,13,13,80,0.0,1014,24,10,44,9
2019-12-21 06:00:00,27,23,0.0,7.2,7,6,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,21,26,26,24,9,17,81,0.0,1014,24,10,43,7
2019-12-21 09:00:00,27,23,0.0,7.2,7,7,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,28,28,26,6,17,71,0.0,1016,26,10,74,5
2019-12-21 12:00:00,27,23,0.0,7.2,7,7,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,29,29,27,12,53,66,0.2,1015,27,9,113,9
2019-12-21 15:00:00,27,23,0.0,7.2,7,6,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,21,28,28,26,19,76,72,0.9,1013,26,9,107,13
2019-12-21 18:00:00,27,23,0.0,7.2,7,5,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,26,26,24,20,84,81,1.3,1013,24,9,79,12
2019-12-21 21:00:00,27,23,0.0,7.2,7,1,28,02:02 AM,02:07 PM,06:33 AM,05:37 PM,20,25,25,23,19,33,83,0.5,1015,23,10,62,10
2019-12-22 00:00:00,27,23,0.0,7.2,7,1,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,25,25,23,13,6,84,0.0,1014,23,10,46,8
2019-12-22 03:00:00,27,23,0.0,7.2,7,1,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,21,26,26,24,10,6,83,0.0,1013,24,10,47,7
2019-12-22 06:00:00,27,23,0.0,7.2,7,6,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,21,26,26,24,10,9,82,0.0,1014,24,10,51,7
2019-12-22 09:00:00,27,23,0.0,7.2,7,7,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,27,27,26,9,9,71,0.0,1015,26,10,92,7
2019-12-22 12:00:00,27,23,0.0,7.2,7,7,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,29,29,27,15,57,65,0.1,1014,27,10,114,12
2019-12-22 15:00:00,27,23,0.0,7.2,7,6,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,28,28,26,21,82,69,0.4,1012,26,9,105,14
2019-12-22 18:00:00,27,23,0.0,7.2,7,5,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,26,26,24,25,68,77,1.2,1012,24,10,94,14
2019-12-22 21:00:00,27,23,0.0,7.2,7,1,21,03:00 AM,02:51 PM,06:33 AM,05:37 PM,20,25,25,23,21,23,82,0.5,1014,23,10,77,11
2019-12-23 00:00:00,27,23,0.0,4.1,7,1,14,03:58 AM,03:38 PM,06:34 AM,05:38 PM,19,25,25,23,19,50,81,0.2,1013,23,10,65,10
2019-12-23 03:00:00,27,23,0.0,4.1,7,1,14,03:58 AM,03:38 PM,06:34 AM,05:38 PM,20,26,26,24,18,82,81,0.4,1012,24,9,75,11
2019-12-23 06:00:00,27,23,0.0,4.1,7,5,14,03:58 AM,03:38 PM,06:34 AM,05:38 PM,21,26,26,24,17,83,82,0.6,1013,24,10,84,11
2019-12-23 09:00:00,27,23,0.0,4.1,7,6,14,03:58 AM,03:38 PM,06:34 AM,05:38 PM,20,27,27,25,18,79,74,0.3,1014,25,10,105,13
