date_time,Nhulunbuy_maxtempC,Nhulunbuy_mintempC,Nhulunbuy_totalSnow_cm,Nhulunbuy_sunHour,Nhulunbuy_uvIndex,Nhulunbuy_uvIndex,Nhulunbuy_moon_illumination,Nhulunbuy_moonrise,Nhulunbuy_moonset,Nhulunbuy_sunrise,Nhulunbuy_sunset,Nhulunbuy_DewPointC,Nhulunbuy_FeelsLikeC,Nhulunbuy_HeatIndexC,Nhulunbuy_WindChillC,Nhulunbuy_WindGustKmph,Nhulunbuy_cloudcover,Nhulunbuy_humidity,Nhulunbuy_precipMM,Nhulunbuy_pressure,Nhulunbuy_tempC,Nhulunbuy_visibility,Nhulunbuy_winddirDegree,Nhulunbuy_windspeedKmph
2019-12-04 00:00:00,34,25,0.0,12.9,8,1,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,21,29,29,27,17,5,71,0.0,1008,27,10,100,9
2019-12-04 03:00:00,34,25,0.0,12.9,8,1,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,20,27,27,25,15,5,73,0.0,1007,25,10,202,7
2019-12-04 06:00:00,34,25,0.0,12.9,8,1,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,19,28,28,26,13,3,65,0.0,1009,26,10,236,8
2019-12-04 09:00:00,34,25,0.0,12.9,8,8,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,17,34,34,32,12,0,41,0.0,1011,32,10,150,10
2019-12-04 12:00:00,34,25,0.0,12.9,8,8,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,18,36,36,34,24,4,39,0.0,1010,34,10,147,21
2019-12-04 15:00:00,34,25,0.0,12.9,8,8,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,19,35,35,33,26,4,44,0.0,1008,33,10,148,22
2019-12-04 18:00:00,34,25,0.0,12.9,8,7,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,21,32,32,29,23,2,62,0.0,1008,29,10,148,15
2019-12-04 21:00:00,34,25,0.0,12.9,8,1,48,12:14 PM,12:15 AM,05:49 AM,06:37 PM,22,30,30,27,22,4,73,0.0,1010,27,10,130,12
2019-12-05 00:00:00,34,26,0.0,12.9,8,1,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,21,29,29,27,17,0,73,0.0,1009,27,10,93,9
2019-12-05 03:00:00,34,26,0.0,12.9,8,1,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,21,28,28,26,9,1,74,0.0,1008,26,10,6,5
2019-12-05 06:00:00,34,26,0.0,12.9,8,1,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,22,28,28,26,22,1,77,0.0,1010,26,10,245,13
2019-12-05 09:00:00,34,26,0.0,12.9,8,8,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,19,35,35,33,6,2,44,0.0,1011,33,10,235,5
2019-12-05 12:00:00,34,26,0.0,12.9,8,8,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,18,35,35,34,12,8,40,0.0,1010,34,10,67,10
2019-12-05 15:00:00,34,26,0.0,12.9,8,8,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,19,35,35,33,13,5,44,0.0,1008,33,10,85,11
2019-12-05 18:00:00,34,26,0.0,12.9,8,7,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,21,31,31,29,22,0,65,0.0,1008,29,10,99,14
2019-12-05 21:00:00,34,26,0.0,12.9,8,1,55,01:00 PM,12:54 AM,05:49 AM,06:37 PM,22,29,29,26,10,0,75,0.0,1010,26,10,88,5
2019-12-06 00:00:00,31,26,0.0,12.9,7,1,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,29,29,27,15,0,73,0.0,1009,27,10,69,8
2019-12-06 03:00:00,31,26,0.0,12.9,7,1,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,28,28,26,9,0,73,0.0,1008,26,10,6,5
2019-12-06 06:00:00,31,26,0.0,12.9,7,1,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,30,30,27,9,0,70,0.0,1009,27,10,340,5
2019-12-06 09:00:00,31,26,0.0,12.9,7,8,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,34,34,31,10,4,53,0.0,1011,31,10,7,9
2019-12-06 12:00:00,31,26,0.0,12.9,7,8,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,34,34,31,24,6,55,0.0,1009,31,10,359,21
2019-12-06 15:00:00,31,26,0.0,12.9,7,8,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,21,34,34,31,23,7,57,0.0,1008,31,10,14,20
2019-12-06 18:00:00,31,26,0.0,12.9,7,7,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,22,32,32,29,25,5,66,0.0,1009,29,10,39,17
2019-12-06 21:00:00,31,26,0.0,12.9,7,1,62,01:46 PM,01:32 AM,05:50 AM,06:38 PM,23,31,31,28,30,2,73,0.0,1011,28,10,42,18
2019-12-07 00:00:00,31,27,0.0,12.9,7,1,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,23,30,30,27,20,4,76,0.0,1009,27,10,28,12
2019-12-07 03:00:00,31,27,0.0,12.9,7,1,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,22,30,30,27,16,3,72,0.0,1008,27,10,11,9
2019-12-07 06:00:00,31,27,0.0,12.9,7,1,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,21,30,30,28,8,4,67,0.0,1010,28,10,334,5
2019-12-07 09:00:00,31,27,0.0,12.9,7,8,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,20,34,34,31,13,1,52,0.0,1011,31,10,37,11
2019-12-07 12:00:00,31,27,0.0,12.9,7,8,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,21,34,34,31,22,6,56,0.0,1010,31,10,23,19
2019-12-07 15:00:00,31,27,0.0,12.9,7,8,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,22,34,34,31,23,8,58,0.0,1008,31,10,24,20
2019-12-07 18:00:00,31,27,0.0,12.9,7,7,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,23,33,33,29,21,4,72,0.0,1009,29,10,43,14
2019-12-07 21:00:00,31,27,0.0,12.9,7,1,70,02:31 PM,02:08 AM,05:50 AM,06:38 PM,24,31,31,28,21,4,80,0.0,1011,28,10,44,13
2019-12-08 00:00:00,31,26,0.0,12.9,7,1,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,24,30,30,27,20,5,82,0.0,1010,27,10,46,12
2019-12-08 03:00:00,31,26,0.0,12.9,7,1,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,22,29,29,26,10,5,77,0.0,1009,26,10,61,5
2019-12-08 06:00:00,31,26,0.0,12.9,7,1,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,22,29,29,26,6,3,75,0.0,1010,26,10,111,4
2019-12-08 09:00:00,31,26,0.0,12.9,7,8,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,21,34,34,31,17,2,55,0.0,1011,31,10,40,15
2019-12-08 12:00:00,31,26,0.0,12.9,7,8,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,21,34,34,31,21,7,57,0.0,1010,31,10,6,18
2019-12-08 15:00:00,31,26,0.0,12.9,7,8,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,21,34,34,31,22,10,56,0.0,1008,31,10,23,19
2019-12-08 18:00:00,31,26,0.0,12.9,7,7,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,22,32,32,29,18,6,66,0.0,1008,29,10,38,13
2019-12-08 21:00:00,31,26,0.0,12.9,7,1,77,03:18 PM,02:46 AM,05:50 AM,06:39 PM,23,31,31,28,18,6,74,0.0,1011,28,10,74,11
2019-12-09 00:00:00,32,27,0.0,12.9,7,1,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,31,31,27,21,5,80,0.0,1010,27,10,63,13
2019-12-09 03:00:00,32,27,0.0,12.9,7,1,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,30,30,27,6,9,79,0.0,1009,27,10,26,3
2019-12-09 06:00:00,32,27,0.0,12.9,7,1,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,24,31,31,27,16,8,79,0.0,1010,27,10,76,10
2019-12-09 09:00:00,32,27,0.0,12.9,7,8,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,24,36,36,31,19,7,67,0.0,1011,31,10,60,16
2019-12-09 12:00:00,32,27,0.0,12.9,7,8,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,37,37,32,19,3,62,0.0,1010,32,10,54,16
2019-12-09 15:00:00,32,27,0.0,12.9,7,8,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,36,36,31,17,3,61,0.0,1008,31,10,45,15
2019-12-09 18:00:00,32,27,0.0,12.9,7,7,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,33,33,29,20,30,73,0.0,1008,29,10,68,14
2019-12-09 21:00:00,32,27,0.0,12.9,7,1,84,04:06 PM,03:25 AM,05:50 AM,06:40 PM,23,31,31,28,21,44,77,0.0,1010,28,10,93,13
2019-12-10 00:00:00,32,26,0.0,11.9,7,1,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,24,30,30,27,19,28,84,0.0,1009,27,10,101,12
2019-12-10 03:00:00,32,26,0.0,11.9,7,1,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,23,29,29,26,12,20,84,0.0,1008,26,10,89,7
2019-12-10 06:00:00,32,26,0.0,11.9,7,1,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,23,30,30,27,16,6,76,0.0,1009,27,10,87,10
2019-12-10 09:00:00,32,26,0.0,11.9,7,8,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,22,35,35,31,19,12,59,0.0,1010,31,10,76,16
2019-12-10 12:00:00,32,26,0.0,11.9,7,7,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,22,36,36,32,22,76,58,1.8,1009,32,9,58,15
2019-12-10 15:00:00,32,26,0.0,11.9,7,7,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,22,36,36,31,25,79,59,1.8,1007,31,9,72,17
2019-12-10 18:00:00,32,26,0.0,11.9,7,7,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,23,33,33,29,19,16,69,0.0,1007,29,10,83,14
2019-12-10 21:00:00,32,26,0.0,11.9,7,1,92,04:56 PM,04:05 AM,05:51 AM,06:40 PM,23,30,30,27,17,10,78,0.0,1009,27,10,115,10
2019-12-11 00:00:00,32,26,0.0,11.9,8,1,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,29,29,26,8,2,79,0.0,1008,26,10,157,5
2019-12-11 03:00:00,32,26,0.0,11.9,8,1,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,28,28,26,12,0,80,0.0,1006,26,10,101,7
2019-12-11 06:00:00,32,26,0.0,11.9,8,1,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,29,29,26,14,0,75,0.0,1009,26,10,133,9
2019-12-11 09:00:00,32,26,0.0,11.9,8,8,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,21,34,34,31,13,31,53,0.0,1010,31,10,68,11
2019-12-11 12:00:00,32,26,0.0,11.9,8,7,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,36,36,32,17,71,57,1.2,1008,32,9,60,13
2019-12-11 15:00:00,32,26,0.0,11.9,8,7,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,35,35,31,19,83,58,1.1,1007,31,9,41,14
2019-12-11 18:00:00,32,26,0.0,11.9,8,7,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,33,33,30,16,12,66,0.0,1007,30,10,49,12
2019-12-11 21:00:00,32,26,0.0,11.9,8,1,99,05:50 PM,04:49 AM,05:51 AM,06:41 PM,22,31,31,28,8,8,71,0.0,1008,28,10,81,5
2019-12-12 00:00:00,31,27,0.0,12.9,8,1,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,22,30,30,27,7,4,73,0.0,1007,27,10,106,4
2019-12-12 03:00:00,31,27,0.0,12.9,8,1,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,22,29,29,27,4,7,75,0.0,1005,27,10,303,3
2019-12-12 06:00:00,31,27,0.0,12.9,8,1,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,23,32,32,28,19,8,73,0.0,1007,28,10,331,13
2019-12-12 09:00:00,31,27,0.0,12.9,8,8,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,23,35,35,31,18,14,64,0.0,1009,31,10,357,15
2019-12-12 12:00:00,31,27,0.0,12.9,8,8,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,22,35,35,31,24,9,59,0.0,1008,31,10,3,21
2019-12-12 15:00:00,31,27,0.0,12.9,8,8,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,23,35,35,31,25,10,62,0.0,1006,31,10,359,22
2019-12-12 18:00:00,31,27,0.0,12.9,8,7,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,23,33,33,29,24,6,70,0.0,1007,29,10,352,17
2019-12-12 21:00:00,31,27,0.0,12.9,8,1,100,06:46 PM,05:38 AM,05:52 AM,06:41 PM,23,33,33,29,25,4,72,0.0,1009,29,10,345,17
2019-12-13 00:00:00,32,28,0.0,12.9,8,1,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,32,32,28,21,5,75,0.0,1008,28,10,337,14
2019-12-13 03:00:00,32,28,0.0,12.9,8,1,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,32,32,28,22,5,76,0.0,1007,28,10,302,14
2019-12-13 06:00:00,32,28,0.0,12.9,8,1,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,32,32,28,18,10,74,0.0,1009,28,10,296,12
2019-12-13 09:00:00,32,28,0.0,12.9,8,8,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,36,36,31,17,7,62,0.0,1010,31,10,335,14
2019-12-13 12:00:00,32,28,0.0,12.9,8,8,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,37,37,32,24,7,62,0.0,1009,32,10,1,21
2019-12-13 15:00:00,32,28,0.0,12.9,8,8,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,36,36,31,24,10,65,0.0,1006,31,10,7,21
2019-12-13 18:00:00,32,28,0.0,12.9,8,7,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,33,33,29,23,5,68,0.0,1008,29,10,350,16
2019-12-13 21:00:00,32,28,0.0,12.9,8,1,87,07:44 PM,06:31 AM,05:52 AM,06:42 PM,23,33,33,29,17,11,74,0.0,1010,29,10,356,10
2019-12-14 00:00:00,33,28,0.0,12.9,8,1,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,23,32,32,28,15,7,75,0.0,1009,28,10,9,10
2019-12-14 03:00:00,33,28,0.0,12.9,8,1,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,23,31,31,28,14,14,75,0.0,1009,28,10,309,9
2019-12-14 06:00:00,33,28,0.0,12.9,8,1,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,23,31,31,28,14,8,75,0.0,1010,28,10,275,9
2019-12-14 09:00:00,33,28,0.0,12.9,8,8,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,23,37,37,32,9,4,59,0.0,1011,32,10,328,8
2019-12-14 12:00:00,33,28,0.0,12.9,8,8,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,23,38,38,33,22,0,56,0.0,1008,33,10,3,19
2019-12-14 15:00:00,33,28,0.0,12.9,8,8,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,24,36,36,31,25,0,66,0.0,1006,31,10,355,22
2019-12-14 18:00:00,33,28,0.0,12.9,8,7,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,24,34,34,29,25,0,73,0.0,1007,29,10,354,18
2019-12-14 21:00:00,33,28,0.0,12.9,8,1,79,08:42 PM,07:28 AM,05:52 AM,06:42 PM,25,33,33,28,19,0,80,0.0,1010,28,10,14,12
2019-12-15 00:00:00,34,28,0.0,12.9,8,1,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,32,32,28,17,0,79,0.0,1009,28,10,354,10
2019-12-15 03:00:00,34,28,0.0,12.9,8,1,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,31,31,28,22,0,80,0.0,1007,28,10,286,14
2019-12-15 06:00:00,34,28,0.0,12.9,8,1,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,32,32,28,21,0,79,0.0,1008,28,10,293,15
2019-12-15 09:00:00,34,28,0.0,12.9,8,8,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,37,37,32,18,4,63,0.0,1009,32,10,321,15
2019-12-15 12:00:00,34,28,0.0,12.9,8,8,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,41,41,34,14,9,54,0.0,1008,34,10,23,13
2019-12-15 15:00:00,34,28,0.0,12.9,8,8,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,23,37,37,32,21,9,62,0.0,1006,32,10,11,18
2019-12-15 18:00:00,34,28,0.0,12.9,8,7,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,34,34,30,18,8,71,0.0,1006,30,10,18,13
2019-12-15 21:00:00,34,28,0.0,12.9,8,1,72,09:39 PM,08:26 AM,05:53 AM,06:43 PM,24,33,33,29,21,6,77,0.0,1008,29,10,23,13
2019-12-16 00:00:00,31,28,0.0,12.9,8,1,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,24,32,32,28,18,6,79,0.0,1008,28,10,16,11
2019-12-16 03:00:00,31,28,0.0,12.9,8,1,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,23,31,31,28,14,7,77,0.0,1006,28,10,5,9
2019-12-16 06:00:00,31,28,0.0,12.9,8,1,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,23,32,32,28,17,6,73,0.0,1008,28,10,346,12
2019-12-16 09:00:00,31,28,0.0,12.9,8,8,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,23,36,36,31,18,6,63,0.0,1009,31,10,351,15
2019-12-16 12:00:00,31,28,0.0,12.9,8,8,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,24,40,40,34,19,6,57,0.0,1007,34,10,9,17
2019-12-16 15:00:00,31,28,0.0,12.9,8,7,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,24,37,37,31,26,79,68,0.3,1006,31,10,360,22
2019-12-16 18:00:00,31,28,0.0,12.9,8,7,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,24,35,35,30,20,3,72,0.0,1006,30,10,3,14
2019-12-16 21:00:00,31,28,0.0,12.9,8,1,65,10:32 PM,09:27 AM,05:53 AM,06:43 PM,25,34,34,29,21,0,79,0.0,1008,29,10,22,13
2019-12-17 00:00:00,32,28,0.0,12.9,8,1,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,24,33,33,28,23,3,78,0.0,1007,28,10,346,15
2019-12-17 03:00:00,32,28,0.0,12.9,8,1,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,24,32,32,28,19,14,76,0.0,1007,28,10,349,12
2019-12-17 06:00:00,32,28,0.0,12.9,8,1,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,24,33,33,29,17,5,74,0.0,1008,29,10,309,11
2019-12-17 09:00:00,32,28,0.0,12.9,8,8,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,23,36,36,31,11,3,60,0.0,1010,31,10,345,10
2019-12-17 12:00:00,32,28,0.0,12.9,8,8,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,23,37,37,32,24,6,61,0.0,1008,32,10,13,21
2019-12-17 15:00:00,32,28,0.0,12.9,8,8,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,23,36,36,31,21,10,64,0.0,1005,31,10,359,18
2019-12-17 18:00:00,32,28,0.0,12.9,8,7,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,24,34,34,29,19,3,71,0.0,1006,29,10,26,13
2019-12-17 21:00:00,32,28,0.0,12.9,8,1,58,11:22 PM,10:26 AM,05:54 AM,06:44 PM,24,32,32,28,21,0,76,0.0,1008,28,10,66,13
2019-12-18 00:00:00,31,27,0.0,12.9,8,1,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,31,31,27,6,2,77,0.0,1008,27,10,38,4
2019-12-18 03:00:00,31,27,0.0,12.9,8,1,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,30,30,27,10,1,78,0.0,1007,27,10,322,5
2019-12-18 06:00:00,31,27,0.0,12.9,8,1,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,30,30,27,5,2,77,0.0,1008,27,10,293,3
2019-12-18 09:00:00,31,27,0.0,12.9,8,8,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,22,35,35,31,13,2,58,0.0,1010,31,10,40,11
2019-12-18 12:00:00,31,27,0.0,12.9,8,8,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,35,35,31,19,4,62,0.0,1008,31,10,10,17
2019-12-18 15:00:00,31,27,0.0,12.9,8,8,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,22,35,35,31,19,2,59,0.0,1006,31,10,33,17
2019-12-18 18:00:00,31,27,0.0,12.9,8,7,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,34,34,30,23,7,67,0.0,1006,30,10,93,17
2019-12-18 21:00:00,31,27,0.0,12.9,8,1,50,No moonrise,11:24 AM,05:54 AM,06:44 PM,23,31,31,28,28,3,74,0.0,1009,28,10,100,18
2019-12-19 00:00:00,32,27,0.0,12.9,7,1,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,24,31,31,27,21,3,81,0.0,1008,27,10,96,13
2019-12-19 03:00:00,32,27,0.0,12.9,7,1,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,21,29,29,27,17,3,71,0.0,1007,27,10,75,10
2019-12-19 06:00:00,32,27,0.0,12.9,7,1,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,22,31,31,28,22,5,70,0.0,1008,28,10,69,14
2019-12-19 09:00:00,32,27,0.0,12.9,7,8,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,22,34,34,30,22,6,63,0.0,1010,30,10,64,19
2019-12-19 12:00:00,32,27,0.0,12.9,7,8,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,22,36,36,32,22,5,57,0.0,1009,32,10,55,19
2019-12-19 15:00:00,32,27,0.0,12.9,7,8,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,22,35,35,31,22,5,58,0.0,1006,31,10,64,19
2019-12-19 18:00:00,32,27,0.0,12.9,7,7,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,22,33,33,29,22,2,66,0.0,1007,29,10,112,16
2019-12-19 21:00:00,32,27,0.0,12.9,7,1,43,12:09 AM,12:19 PM,05:54 AM,06:45 PM,23,31,31,28,24,48,76,0.0,1010,28,10,120,15
2019-12-20 00:00:00,32,27,0.0,11.9,8,1,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,22,30,30,27,20,3,72,0.0,1008,27,10,115,12
2019-12-20 03:00:00,32,27,0.0,11.9,8,1,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,21,29,29,27,12,8,69,0.0,1007,27,10,110,7
2019-12-20 06:00:00,32,27,0.0,11.9,8,1,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,21,30,30,28,15,16,66,0.0,1009,28,10,91,10
2019-12-20 09:00:00,32,27,0.0,11.9,8,8,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,21,34,34,31,21,18,57,0.0,1010,31,10,62,18
2019-12-20 12:00:00,32,27,0.0,11.9,8,7,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,22,36,36,31,19,84,58,0.1,1009,31,10,58,17
2019-12-20 15:00:00,32,27,0.0,11.9,8,7,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,23,36,36,32,20,78,58,0.1,1006,32,10,78,18
2019-12-20 18:00:00,32,27,0.0,11.9,8,7,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,23,34,34,30,21,6,67,0.0,1007,30,10,101,15
2019-12-20 21:00:00,32,27,0.0,11.9,8,1,36,12:55 AM,01:15 PM,05:55 AM,06:45 PM,23,31,31,28,21,10,75,0.0,1009,28,10,105,13
2019-12-21 00:00:00,31,27,0.0,9.4,7,1,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,31,31,27,15,7,78,0.0,1008,27,10,100,9
2019-12-21 03:00:00,31,27,0.0,9.4,7,1,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,31,31,28,16,0,75,0.0,1007,28,10,68,9
2019-12-21 06:00:00,31,27,0.0,9.4,7,1,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,24,33,33,29,27,6,74,0.0,1008,29,10,57,19
2019-12-21 09:00:00,31,27,0.0,9.4,7,7,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,24,36,36,31,22,82,66,0.1,1010,31,10,55,19
2019-12-21 12:00:00,31,27,0.0,9.4,7,7,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,36,36,31,19,71,65,0.2,1008,31,9,41,17
2019-12-21 15:00:00,31,27,0.0,9.4,7,7,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,35,35,30,21,89,65,1.0,1007,30,9,46,15
2019-12-21 18:00:00,31,27,0.0,9.4,7,6,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,34,34,29,20,75,70,0.2,1008,29,9,54,14
2019-12-21 21:00:00,31,27,0.0,9.4,7,1,28,01:39 AM,02:09 PM,05:55 AM,06:46 PM,23,32,32,29,20,81,74,0.2,1009,29,10,84,13
2019-12-22 00:00:00,32,27,0.0,11.9,8,1,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,32,32,28,16,21,77,0.0,1008,28,10,97,10
2019-12-22 03:00:00,32,27,0.0,11.9,8,1,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,31,31,27,13,8,78,0.0,1007,27,10,79,8
2019-12-22 06:00:00,32,27,0.0,11.9,8,1,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,32,32,28,19,21,75,0.0,1009,28,10,65,13
2019-12-22 09:00:00,32,27,0.0,11.9,8,8,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,36,36,31,20,5,63,0.0,1010,31,10,65,17
2019-12-22 12:00:00,32,27,0.0,11.9,8,7,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,37,37,32,21,76,60,0.4,1008,32,9,51,18
2019-12-22 15:00:00,32,27,0.0,11.9,8,7,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,36,36,31,20,74,60,0.7,1006,31,9,52,16
2019-12-22 18:00:00,32,27,0.0,11.9,8,7,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,23,34,34,30,19,10,67,0.0,1007,30,10,68,14
2019-12-22 21:00:00,32,27,0.0,11.9,8,1,21,02:24 AM,03:04 PM,05:56 AM,06:47 PM,24,33,33,29,21,35,75,0.0,1009,29,10,87,14
2019-12-23 00:00:00,32,27,0.0,10.6,8,1,14,03:10 AM,04:01 PM,05:56 AM,06:47 PM,24,32,32,28,19,9,80,0.0,1008,28,10,100,13
2019-12-23 03:00:00,32,27,0.0,10.6,8,1,14,03:10 AM,04:01 PM,05:56 AM,06:47 PM,23,30,30,27,18,0,75,0.0,1007,27,10,104,10
2019-12-23 06:00:00,32,27,0.0,10.6,8,1,14,03:10 AM,04:01 PM,05:56 AM,06:47 PM,22,31,31,28,18,2,73,0.0,1009,28,10,86,12
