date_time,Kempsey_maxtempC,Kempsey_mintempC,Kempsey_totalSnow_cm,Kempsey_sunHour,Kempsey_uvIndex,Kempsey_uvIndex,Kempsey_moon_illumination,Kempsey_moonrise,Kempsey_moonset,Kempsey_sunrise,Kempsey_sunset,Kempsey_DewPointC,Kempsey_FeelsLikeC,Kempsey_HeatIndexC,Kempsey_WindChillC,Kempsey_WindGustKmph,Kempsey_cloudcover,Kempsey_humidity,Kempsey_precipMM,Kempsey_pressure,Kempsey_tempC,Kempsey_visibility,Kempsey_winddirDegree,Kempsey_windspeedKmph
2019-12-04 00:00:00,32,13,0.0,14.0,7,1,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,7,15,17,15,13,0,60,0.0,1009,16,10,293,6
2019-12-04 03:00:00,32,13,0.0,14.0,7,1,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,4,13,13,13,14,0,54,0.0,1009,13,10,287,6
2019-12-04 06:00:00,32,13,0.0,14.0,7,1,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,5,17,17,17,10,0,43,0.0,1011,17,10,287,6
2019-12-04 09:00:00,32,13,0.0,14.0,7,7,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,4,24,24,26,5,0,26,0.0,1011,26,10,334,4
2019-12-04 12:00:00,32,13,0.0,14.0,7,8,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,4,29,29,31,5,0,19,0.0,1010,31,10,134,4
2019-12-04 15:00:00,32,13,0.0,14.0,7,7,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,8,28,28,29,10,1,27,0.0,1008,29,10,43,9
2019-12-04 18:00:00,32,13,0.0,14.0,7,1,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,11,28,28,26,13,1,54,0.0,1009,26,10,39,8
2019-12-04 21:00:00,32,13,0.0,14.0,7,1,48,11:18 AM,12:02 AM,04:37 AM,06:40 PM,11,26,26,23,11,0,71,0.0,1011,23,10,227,5
2019-12-05 00:00:00,33,13,0.0,14.0,7,1,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,6,16,17,16,12,0,59,0.0,1011,16,10,301,6
2019-12-05 03:00:00,33,13,0.0,14.0,7,1,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,2,14,13,14,12,0,47,0.0,1011,13,10,285,6
2019-12-05 06:00:00,33,13,0.0,14.0,7,1,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,3,18,18,18,8,0,36,0.0,1012,18,10,285,5
2019-12-05 09:00:00,33,13,0.0,14.0,7,7,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,2,26,26,27,4,0,21,0.0,1012,27,10,308,3
2019-12-05 12:00:00,33,13,0.0,14.0,7,8,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,3,30,30,32,9,0,16,0.0,1010,32,10,173,8
2019-12-05 15:00:00,33,13,0.0,14.0,7,7,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,7,28,28,29,12,0,25,0.0,1008,29,10,64,10
2019-12-05 18:00:00,33,13,0.0,14.0,7,1,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,10,26,26,25,12,5,47,0.0,1009,25,10,25,7
2019-12-05 21:00:00,33,13,0.0,14.0,7,1,55,12:11 PM,12:34 AM,04:37 AM,06:41 PM,11,21,24,21,13,2,63,0.0,1010,21,10,223,6
2019-12-06 00:00:00,35,16,0.0,14.0,8,1,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,8,17,19,17,13,2,58,0.0,1009,17,10,320,6
2019-12-06 03:00:00,35,16,0.0,14.0,8,1,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,5,16,16,16,11,3,49,0.0,1009,16,10,294,5
2019-12-06 06:00:00,35,16,0.0,14.0,8,1,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,5,21,21,21,9,3,36,0.0,1009,21,10,295,5
2019-12-06 09:00:00,35,16,0.0,14.0,8,8,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,4,30,30,31,7,3,20,0.0,1009,31,10,298,6
2019-12-06 12:00:00,35,16,0.0,14.0,8,9,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,5,33,33,35,4,1,16,0.0,1007,35,10,202,4
2019-12-06 15:00:00,35,16,0.0,14.0,8,8,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,8,31,31,33,8,0,22,0.0,1005,33,10,102,7
2019-12-06 18:00:00,35,16,0.0,14.0,8,1,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,12,31,31,30,7,5,48,0.0,1007,30,10,61,5
2019-12-06 21:00:00,35,16,0.0,14.0,8,1,62,01:04 PM,01:05 AM,04:37 AM,06:41 PM,12,30,30,27,6,5,63,0.0,1008,27,10,192,3
2019-12-07 00:00:00,30,18,0.0,14.1,7,1,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,9,21,22,21,11,2,53,0.0,1009,21,10,263,5
2019-12-07 03:00:00,30,18,0.0,14.1,7,1,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,5,18,18,18,14,4,42,0.0,1009,18,10,249,6
2019-12-07 06:00:00,30,18,0.0,14.1,7,1,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,10,21,23,21,15,3,48,0.0,1011,21,10,210,10
2019-12-07 09:00:00,30,18,0.0,14.1,7,7,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,14,27,27,27,14,1,46,0.0,1012,27,10,172,12
2019-12-07 12:00:00,30,18,0.0,14.1,7,7,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,14,30,30,30,18,2,39,0.0,1011,30,10,142,15
2019-12-07 15:00:00,30,18,0.0,14.1,7,7,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,15,28,28,28,17,3,46,0.0,1010,28,10,131,14
2019-12-07 18:00:00,30,18,0.0,14.1,7,1,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,16,27,27,25,9,6,72,0.0,1013,25,10,121,6
2019-12-07 21:00:00,30,18,0.0,14.1,7,1,70,01:58 PM,01:34 AM,04:37 AM,06:42 PM,16,25,25,22,5,5,91,0.0,1016,22,5,271,2
2019-12-08 00:00:00,25,16,0.0,11.1,5,1,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,18,18,18,6,68,97,0.0,1017,18,1,240,3
2019-12-08 03:00:00,25,16,0.0,11.1,5,1,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,17,17,17,4,97,93,0.0,1017,17,7,193,2
2019-12-08 06:00:00,25,16,0.0,11.1,5,1,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,19,19,19,3,86,88,0.1,1019,19,10,112,2
2019-12-08 09:00:00,25,16,0.0,11.1,5,5,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,24,24,23,8,67,65,0.3,1019,23,10,57,6
2019-12-08 12:00:00,25,16,0.0,11.1,5,5,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,15,26,26,25,12,51,55,0.1,1018,25,10,73,10
2019-12-08 15:00:00,25,16,0.0,11.1,5,6,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,15,26,26,25,14,48,57,0.0,1018,25,10,82,12
2019-12-08 18:00:00,25,16,0.0,11.1,5,1,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,22,22,22,11,73,70,0.0,1020,22,10,74,8
2019-12-08 21:00:00,25,16,0.0,11.1,5,1,77,02:52 PM,02:04 AM,04:37 AM,06:43 PM,16,20,20,20,8,86,80,0.0,1022,20,10,64,5
2019-12-09 00:00:00,28,17,0.0,12.2,6,1,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,16,19,19,19,8,79,84,0.0,1022,19,10,35,4
2019-12-09 03:00:00,28,17,0.0,12.2,6,1,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,16,17,17,17,7,45,91,0.0,1022,17,5,10,4
2019-12-09 06:00:00,28,17,0.0,12.2,6,1,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,15,20,22,20,8,33,76,0.0,1023,20,7,16,6
2019-12-09 09:00:00,28,17,0.0,12.2,6,6,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,15,26,26,25,12,17,55,0.0,1022,25,10,41,10
2019-12-09 12:00:00,28,17,0.0,12.2,6,7,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,17,28,28,27,18,7,54,0.0,1020,27,10,52,15
2019-12-09 15:00:00,28,17,0.0,12.2,6,7,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,18,27,27,26,18,63,64,0.0,1018,26,10,49,15
2019-12-09 18:00:00,28,17,0.0,12.2,6,1,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,19,25,25,23,14,92,79,0.0,1018,23,10,41,10
2019-12-09 21:00:00,28,17,0.0,12.2,6,1,84,03:48 PM,02:34 AM,04:37 AM,06:44 PM,19,21,22,21,12,87,90,0.1,1019,21,10,29,8
2019-12-10 00:00:00,36,18,0.0,14.1,7,1,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,19,20,20,20,13,70,95,0.1,1018,20,5,11,7
2019-12-10 03:00:00,36,18,0.0,14.1,7,1,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,18,19,19,19,13,88,97,0.0,1016,19,1,236,6
2019-12-10 06:00:00,36,18,0.0,14.1,7,1,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,19,21,23,21,10,37,85,0.0,1016,21,7,349,6
2019-12-10 09:00:00,36,18,0.0,14.1,7,8,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,18,33,33,32,8,5,48,0.0,1015,32,10,135,6
2019-12-10 12:00:00,36,18,0.0,14.1,7,8,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,19,37,37,34,15,5,40,0.0,1013,34,10,53,13
2019-12-10 15:00:00,36,18,0.0,14.1,7,8,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,20,33,33,31,15,5,54,0.0,1011,31,10,58,13
2019-12-10 18:00:00,36,18,0.0,14.1,7,1,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,21,31,31,28,12,4,78,0.0,1012,28,10,47,8
2019-12-10 21:00:00,36,18,0.0,14.1,7,1,92,04:45 PM,03:08 AM,04:38 AM,06:45 PM,21,29,29,25,8,10,94,0.0,1013,25,5,232,4
2019-12-11 00:00:00,29,19,0.0,9.9,5,1,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,20,21,22,21,6,71,98,0.0,1013,21,1,214,3
2019-12-11 03:00:00,29,19,0.0,9.9,5,1,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,19,20,20,20,13,100,94,0.0,1013,20,6,180,8
2019-12-11 06:00:00,29,19,0.0,9.9,5,1,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,18,21,23,21,12,92,82,0.0,1014,21,9,184,8
2019-12-11 09:00:00,29,19,0.0,9.9,5,6,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,17,27,27,26,8,48,61,0.0,1014,26,10,147,6
2019-12-11 12:00:00,29,19,0.0,9.9,5,7,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,18,30,30,28,12,64,54,0.1,1012,28,9,135,10
2019-12-11 15:00:00,29,19,0.0,9.9,5,5,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,19,26,26,24,15,74,73,3.1,1012,24,8,207,10
2019-12-11 18:00:00,29,19,0.0,9.9,5,1,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,19,20,21,20,12,70,91,2.3,1013,20,9,113,7
2019-12-11 21:00:00,29,19,0.0,9.9,5,1,99,05:46 PM,03:45 AM,04:38 AM,06:45 PM,19,19,19,19,10,61,96,1.1,1013,19,9,132,5
2019-12-12 00:00:00,28,18,0.0,11.1,5,1,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,18,18,18,18,11,85,98,0.4,1012,18,3,212,6
2019-12-12 03:00:00,28,18,0.0,11.1,5,1,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,18,18,18,18,12,86,98,0.0,1012,18,1,228,6
2019-12-12 06:00:00,28,18,0.0,11.1,5,1,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,17,20,22,20,10,45,85,0.0,1013,20,7,212,7
2019-12-12 09:00:00,28,18,0.0,11.1,5,7,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,16,27,27,26,9,49,58,0.0,1013,26,10,155,7
2019-12-12 12:00:00,28,18,0.0,11.1,5,6,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,18,26,26,25,12,83,65,0.1,1011,25,10,132,10
2019-12-12 15:00:00,28,18,0.0,11.1,5,5,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,19,25,25,22,12,98,81,0.4,1010,22,10,135,9
2019-12-12 18:00:00,28,18,0.0,11.1,5,1,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,19,20,21,20,8,100,90,0.4,1012,20,10,142,6
2019-12-12 21:00:00,28,18,0.0,11.1,5,1,100,06:46 PM,04:27 AM,04:38 AM,06:46 PM,18,19,19,19,5,100,96,1.1,1013,19,10,180,3
2019-12-13 00:00:00,19,17,0.0,8.8,4,1,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,18,18,18,8,88,97,0.5,1013,18,5,193,4
2019-12-13 03:00:00,19,17,0.0,8.8,4,1,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,18,18,18,7,94,97,0.3,1013,18,2,180,4
2019-12-13 06:00:00,19,17,0.0,8.8,4,1,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,18,18,18,7,100,97,0.9,1014,18,7,173,4
2019-12-13 09:00:00,19,17,0.0,8.8,4,4,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,19,19,19,8,100,97,1.8,1014,19,9,162,5
2019-12-13 12:00:00,19,17,0.0,8.8,4,4,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,19,19,19,7,100,96,1.3,1013,19,10,152,5
2019-12-13 15:00:00,19,17,0.0,8.8,4,4,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,18,19,19,19,6,100,95,1.1,1011,19,10,143,4
2019-12-13 18:00:00,19,17,0.0,8.8,4,1,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,17,19,19,19,5,100,89,0.5,1012,19,10,142,3
2019-12-13 21:00:00,19,17,0.0,8.8,4,1,87,07:47 PM,05:16 AM,04:38 AM,06:47 PM,16,18,18,18,3,96,92,0.2,1013,18,5,188,2
2019-12-14 00:00:00,28,16,0.0,11.1,5,1,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,16,17,17,17,2,98,94,0.1,1013,17,7,263,1
2019-12-14 03:00:00,28,16,0.0,11.1,5,1,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,16,17,17,17,3,100,96,0.1,1012,17,3,264,1
2019-12-14 06:00:00,28,16,0.0,11.1,5,1,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,17,19,19,19,1,94,89,0.0,1012,19,7,218,1
2019-12-14 09:00:00,28,16,0.0,11.1,5,5,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,17,24,24,24,4,84,66,0.1,1012,24,10,98,3
2019-12-14 12:00:00,28,16,0.0,11.1,5,6,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,17,28,28,27,11,50,54,0.0,1010,27,10,62,10
2019-12-14 15:00:00,28,16,0.0,11.1,5,7,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,18,28,28,26,15,21,59,0.0,1008,26,10,64,13
2019-12-14 18:00:00,28,16,0.0,11.1,5,1,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,19,25,25,24,12,68,82,0.4,1009,24,10,39,9
2019-12-14 21:00:00,28,16,0.0,11.1,5,1,79,08:45 PM,06:10 AM,04:38 AM,06:47 PM,19,20,21,20,12,74,95,0.9,1011,20,10,15,6
2019-12-15 00:00:00,31,18,0.0,13.4,6,1,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,18,18,18,18,5,88,97,0.3,1010,18,3,39,3
2019-12-15 03:00:00,31,18,0.0,13.4,6,1,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,18,18,18,18,4,100,98,0.0,1010,18,0,176,2
2019-12-15 06:00:00,31,18,0.0,13.4,6,1,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,19,20,20,20,6,91,93,0.0,1011,20,7,233,4
2019-12-15 09:00:00,31,18,0.0,13.4,6,6,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,18,26,26,26,7,52,66,0.0,1011,26,10,170,6
2019-12-15 12:00:00,31,18,0.0,13.4,6,7,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,18,31,31,30,12,20,50,0.0,1009,30,10,116,11
2019-12-15 15:00:00,31,18,0.0,13.4,6,7,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,19,30,30,28,13,18,60,0.0,1008,28,10,88,11
2019-12-15 18:00:00,31,18,0.0,13.4,6,1,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,20,26,26,23,10,32,84,0.0,1008,23,10,52,7
2019-12-15 21:00:00,31,18,0.0,13.4,6,1,72,09:39 PM,07:11 AM,04:39 AM,06:48 PM,20,20,21,20,9,79,97,0.0,1009,20,3,224,5
2019-12-16 00:00:00,35,18,0.0,14.1,6,1,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,19,19,19,19,11,100,98,0.0,1008,19,0,313,5
2019-12-16 03:00:00,35,18,0.0,14.1,6,1,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,16,18,18,18,13,37,88,0.0,1007,18,7,298,6
2019-12-16 06:00:00,35,18,0.0,14.1,6,1,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,11,23,23,22,13,3,53,0.0,1008,22,10,289,6
2019-12-16 09:00:00,35,18,0.0,14.1,6,8,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,7,31,31,32,14,3,23,0.0,1009,32,10,225,11
2019-12-16 12:00:00,35,18,0.0,14.1,6,8,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,11,33,33,34,22,3,26,0.0,1008,34,10,165,19
2019-12-16 15:00:00,35,18,0.0,14.1,6,7,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,15,27,27,26,24,5,50,0.0,1011,26,10,160,21
2019-12-16 18:00:00,35,18,0.0,14.1,6,1,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,15,22,22,22,18,47,65,0.0,1014,22,10,172,13
2019-12-16 21:00:00,35,18,0.0,14.1,6,1,65,10:26 PM,08:15 AM,04:39 AM,06:49 PM,14,18,18,18,14,36,78,0.0,1017,18,10,199,8
2019-12-17 00:00:00,26,15,0.0,14.1,6,1,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,13,16,16,16,13,35,83,0.0,1017,16,10,228,7
2019-12-17 03:00:00,26,15,0.0,14.1,6,1,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,13,15,15,15,11,36,86,0.0,1017,15,10,231,6
2019-12-17 06:00:00,26,15,0.0,14.1,6,1,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,12,18,18,18,10,29,69,0.0,1018,18,10,210,7
2019-12-17 09:00:00,26,15,0.0,14.1,6,6,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,12,23,23,23,10,10,50,0.0,1019,23,10,162,9
2019-12-17 12:00:00,26,15,0.0,14.1,6,7,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,12,26,26,26,13,2,43,0.0,1018,26,10,133,12
2019-12-17 15:00:00,26,15,0.0,14.1,6,6,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,13,25,25,25,14,2,48,0.0,1018,25,10,125,13
2019-12-17 18:00:00,26,15,0.0,14.1,6,1,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,13,21,24,21,10,3,65,0.0,1019,21,10,128,7
2019-12-17 21:00:00,26,15,0.0,14.1,6,1,58,11:09 PM,09:21 AM,04:39 AM,06:49 PM,13,17,18,17,6,10,81,0.0,1021,17,10,215,3
2019-12-18 00:00:00,28,13,0.0,14.1,6,1,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,12,14,14,14,7,26,91,0.0,1021,14,10,262,3
2019-12-18 03:00:00,28,13,0.0,14.1,6,1,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,12,13,13,13,8,24,95,0.0,1020,13,5,267,4
2019-12-18 06:00:00,28,13,0.0,14.1,6,1,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,12,18,17,18,5,10,74,0.0,1021,17,7,294,4
2019-12-18 09:00:00,28,13,0.0,14.1,6,6,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,11,24,24,24,8,1,46,0.0,1021,24,10,130,7
2019-12-18 12:00:00,28,13,0.0,14.1,6,7,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,11,27,27,27,14,0,37,0.0,1019,27,10,58,12
2019-12-18 15:00:00,28,13,0.0,14.1,6,7,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,13,26,26,26,16,0,44,0.0,1018,26,10,51,14
2019-12-18 18:00:00,28,13,0.0,14.1,6,1,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,14,25,25,24,14,0,64,0.0,1019,24,10,37,9
2019-12-18 21:00:00,28,13,0.0,14.1,6,1,50,11:48 PM,10:27 AM,04:40 AM,06:50 PM,14,21,24,21,14,0,80,0.0,1020,21,10,14,7
2019-12-19 00:00:00,34,14,0.0,14.1,7,1,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,14,17,18,17,15,1,89,0.0,1019,17,10,235,7
2019-12-19 03:00:00,34,14,0.0,14.1,7,1,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,13,15,15,15,12,2,93,0.0,1017,15,10,353,6
2019-12-19 06:00:00,34,14,0.0,14.1,7,1,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,14,19,21,19,9,2,73,0.0,1017,19,10,358,6
2019-12-19 09:00:00,34,14,0.0,14.1,7,7,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,13,29,29,28,9,6,42,0.0,1017,28,10,143,8
2019-12-19 12:00:00,34,14,0.0,14.1,7,8,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,15,33,33,33,14,6,32,0.0,1015,33,10,51,13
2019-12-19 15:00:00,34,14,0.0,14.1,7,8,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,17,32,32,31,15,8,42,0.0,1013,31,10,50,13
2019-12-19 18:00:00,34,14,0.0,14.1,7,1,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,18,30,30,27,14,6,68,0.0,1014,27,10,30,9
2019-12-19 21:00:00,34,14,0.0,14.1,7,1,43,No moonrise,11:32 AM,04:40 AM,06:50 PM,18,26,26,23,10,10,85,0.0,1015,23,10,241,5
2019-12-20 00:00:00,30,18,0.0,14.1,7,1,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,17,20,21,20,9,11,85,0.0,1016,20,10,234,5
2019-12-20 03:00:00,30,18,0.0,14.1,7,1,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,16,18,18,18,12,5,87,0.0,1016,18,10,194,6
2019-12-20 06:00:00,30,18,0.0,14.1,7,1,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,16,21,23,21,10,2,72,0.0,1017,21,10,207,7
2019-12-20 09:00:00,30,18,0.0,14.1,7,7,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,16,29,29,28,10,2,51,0.0,1018,28,10,174,9
2019-12-20 12:00:00,30,18,0.0,14.1,7,8,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,17,31,31,30,15,0,46,0.0,1017,30,10,140,13
2019-12-20 15:00:00,30,18,0.0,14.1,7,7,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,18,30,30,28,14,0,54,0.0,1016,28,10,129,12
2019-12-20 18:00:00,30,18,0.0,14.1,7,1,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,19,28,28,25,9,14,79,0.0,1017,25,10,120,6
2019-12-20 21:00:00,30,18,0.0,14.1,7,1,36,12:24 AM,12:36 PM,04:41 AM,06:51 PM,19,20,22,20,5,39,93,0.0,1018,20,5,232,3
2019-12-21 00:00:00,32,18,0.0,14.1,6,1,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,18,19,19,19,5,83,97,0.0,1017,19,1,304,2
2019-12-21 03:00:00,32,18,0.0,14.1,6,1,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,18,19,19,19,5,83,96,0.0,1016,19,1,323,3
2019-12-21 06:00:00,32,18,0.0,14.1,6,1,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,18,22,23,22,6,45,83,0.0,1016,22,7,118,5
2019-12-21 09:00:00,32,18,0.0,14.1,6,7,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,19,30,30,28,11,10,59,0.0,1016,28,10,31,9
2019-12-21 12:00:00,32,18,0.0,14.1,6,8,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,19,33,33,31,15,0,49,0.0,1014,31,10,54,13
2019-12-21 15:00:00,32,18,0.0,14.1,6,8,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,19,32,32,30,14,0,53,0.0,1012,30,10,53,13
2019-12-21 18:00:00,32,18,0.0,14.1,6,1,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,20,30,30,27,13,0,73,0.0,1012,27,10,40,9
2019-12-21 21:00:00,32,18,0.0,14.1,6,1,28,01:00 AM,01:40 PM,04:41 AM,06:51 PM,19,27,27,24,15,4,90,0.0,1013,24,10,19,8
2019-12-22 00:00:00,29,19,0.0,12.2,7,1,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,19,20,22,20,15,19,95,0.0,1013,20,5,115,8
2019-12-22 03:00:00,29,19,0.0,12.2,7,1,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,19,20,20,20,12,48,92,0.0,1014,20,7,204,6
2019-12-22 06:00:00,29,19,0.0,12.2,7,1,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,18,24,24,23,9,75,75,0.0,1016,23,10,214,7
2019-12-22 09:00:00,29,19,0.0,12.2,7,6,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,17,27,27,26,13,42,57,0.0,1017,26,10,188,11
2019-12-22 12:00:00,29,19,0.0,12.2,7,7,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,17,29,29,29,18,9,49,0.0,1016,29,10,169,16
2019-12-22 15:00:00,29,19,0.0,12.2,7,7,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,17,27,27,26,19,50,58,0.0,1016,26,10,164,17
2019-12-22 18:00:00,29,19,0.0,12.2,7,1,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,17,23,23,22,18,62,73,0.2,1018,22,10,176,14
2019-12-22 21:00:00,29,19,0.0,12.2,7,1,21,01:36 AM,02:44 PM,04:42 AM,06:52 PM,16,20,20,20,14,72,81,0.3,1019,20,9,195,9
2019-12-23 00:00:00,28,18,0.0,8.8,5,1,14,02:13 AM,03:49 PM,04:42 AM,06:52 PM,16,19,19,19,10,80,83,0.1,1019,19,10,214,6
2019-12-23 03:00:00,28,18,0.0,8.8,5,1,14,02:13 AM,03:49 PM,04:42 AM,06:52 PM,15,19,19,19,10,91,81,0.0,1018,19,10,215,6
2019-12-23 06:00:00,28,18,0.0,8.8,5,1,14,02:13 AM,03:49 PM,04:42 AM,06:52 PM,15,20,20,20,8,96,73,0.0,1018,20,10,217,5
